C,full,bubble,vertex,vertex_T
C1,0.6901373386778196,0.6791081908975105,0.011029147780309027,-3.594394928521473e-05
C4,0.10318675432708076,0.10318675432708067,8.856457774379784e-17,-5.3301329471148365e-18
C5,0.2573369065636716,0.25,0.007336906563671565,0.0
C6,0.23497258743245225,0.25,-0.015027412567547749,0.0
C7,0.18692775925667865,0.25,-0.06307224074332136,0.0
C8A,-0.00650919193450164,1.5422863144906628e-15,-0.006509191934503182,0.0
C8B,-0.00650911961091891,1.5422863144906628e-15,-0.006509119610920452,0.0
C9,3.0845726289813256e-15,3.0845726289813256e-15,0.0,0.0
C10,-0.0076904022814624565,0.0,-0.0076904022814624565,0.0
C11,0.02236431913121932,0.0,0.02236431913121932,0.0
C12,0.11835817821521535,0.11835817821521528,6.426420618059995e-17,0.0
C13,0.5,0.5,0.0,0.0
Ct1,0.5716319353955327,0.5690915214089998,0.002540413986532879,8.427038084569463e-06
Ct2,0.5737246448678363,0.5690915214089998,0.004633123458836479,6.758057663596853e-06
Ctt,0.471834530845134,0.47307042561373963,-0.0012358947686056357,-6.070870891567352e-06
Cμ1,-0.43979152827523627,-0.42476411570768957,-0.015027412567546698,-0.015027412567546784
Cμ2,-0.43979152827523715,-0.42476411570768957,-0.015027412567547568,-0.015027412567547317
Cμt1,-0.36369804062416966,-0.3636980406241696,-4.0255886172684175e-17,7.421633830092243e-16
Cμt2,-0.3636980406241696,-0.3636980406241696,1.454132546287399e-18,7.693131628416025e-16
